Batch,CER,WER
0,0.0921,0.5862
1,0.0337,0.2167
2,0.0610,0.3621
3,0.0643,0.3929
4,0.0532,0.3500
5,0.0806,0.4821
6,0.0849,0.4643
7,0.0315,0.2321
8,0.0498,0.2759
9,0.0809,0.4333
10,0.0958,0.6552
11,0.0621,0.3500
12,0.0721,0.4333
13,0.1003,0.5370
14,0.0605,0.2833
15,0.0635,0.4643
16,0.0473,0.3103
17,0.0875,0.4821
18,0.0815,0.5000
19,0.0333,0.2679
20,0.0629,0.4464
21,0.0421,0.3167
22,0.0760,0.4138
23,0.0540,0.3393
24,0.0517,0.3276
25,0.0378,0.2586
26,0.0591,0.3000
27,0.0519,0.3966
28,0.0508,0.3103
29,0.0519,0.3333
30,0.0291,0.2759
31,0.0468,0.3103
32,0.0713,0.3966
33,0.1266,0.5862
34,0.0353,0.3448
35,0.0515,0.3621
36,0.0559,0.3571
37,0.0516,0.3276
38,0.0733,0.3333
39,0.0418,0.2833
40,0.0735,0.5172
41,0.0812,0.4828
42,0.1002,0.5000
43,0.0460,0.2679
44,0.0695,0.4167
45,0.1911,0.7833
46,0.0588,0.3500
47,0.1005,0.5345
48,0.0511,0.2679
49,0.0853,0.4107
50,0.0521,0.3036
51,0.0490,0.3833
52,0.0488,0.3276
53,0.0791,0.3621
54,0.0377,0.3448
55,0.0599,0.3393
56,0.0431,0.2931
57,0.0644,0.5000
58,0.0654,0.2759
59,0.0382,0.3667
60,0.0475,0.2414
61,0.0608,0.4655
62,0.0489,0.3333
63,0.0489,0.2222
64,0.0471,0.3333
65,0.0388,0.2963
66,0.0565,0.3621
67,0.0880,0.4655
68,0.0489,0.3500
69,0.0808,0.2931
70,0.0886,0.4655
71,0.0600,0.3276
72,0.0610,0.3667
73,0.1123,0.5667
74,0.0909,0.5536
75,0.0860,0.4828
76,0.0781,0.3929
77,0.0913,0.5167
78,0.0677,0.4107
79,0.0575,0.3167
80,0.1101,0.4655
81,0.0664,0.3333
82,0.0630,0.3667
83,0.0628,0.4286
84,0.0800,0.5172
85,0.1244,0.5000
86,0.1403,0.7667
87,0.0841,0.5690
88,0.0495,0.4500
89,0.0830,0.4483
90,0.0535,0.3333
91,0.0636,0.3793
92,0.0827,0.5179
93,0.0866,0.4167
94,0.0763,0.5167
95,0.0753,0.3571
96,0.0794,0.3667
97,0.0950,0.5690
98,0.0723,0.4107
99,0.0877,0.5000
100,0.0561,0.3500
101,0.0532,0.3276
102,0.0557,0.3167
103,0.0460,0.3667
104,0.0700,0.4333
105,0.0301,0.3000
106,0.0467,0.4000
107,0.0336,0.2833
108,0.0506,0.3333
109,0.0538,0.4500
110,0.0554,0.3167
111,0.0313,0.2833
112,0.0481,0.4167
113,0.0398,0.4000
114,0.0789,0.5000
115,0.1122,0.6167
116,0.0408,0.3500
117,0.0422,0.4000
118,0.0468,0.3833
119,0.0757,0.4500
120,0.0369,0.3833
121,0.0314,0.2833
122,0.0929,0.5085
123,0.0210,0.2000
124,0.0316,0.3000
125,0.0300,0.3000
126,0.0381,0.3333
127,0.0204,0.2000
128,0.0243,0.2000
129,0.0438,0.3333
130,0.0473,0.4167
131,0.0364,0.3500
132,0.0473,0.3667
133,0.0496,0.4167
134,0.0513,0.4500
135,0.0272,0.2667
136,0.0379,0.4167
137,0.0366,0.2833
138,0.0599,0.5333
